North Africa;23/01/2020;0;0;1;1;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Bani Walid, Libya;31.764020000000, 14.035110000000;
North Africa;22/01/2020;0;0;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Bani Walid, Libya;31.764020000000, 14.035110000000;
North Africa;22/01/2020;0;2;0;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Tamanrasset, Algeria;22.787960000000, 5.527180000000;
North Africa;22/01/2020;0;2;0;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Vehicle Accident;Tamanrasset, Algeria;22.787960000000, 5.527180000000;
Central America;22/01/2020;0;0;1;0;Injuries;Died in hospital in Saltillo, Coahuila, Mexico - from injuries sustained in a fire on 16 January;25.477285800000, -100.978785800000;http://bit.ly/2uqPfQa
US-Mexico Border;21/01/2020;0;1;0;0;Sickness and lack of access to medicines;Hospital General de Zona Número 11, Nuevo Laredo, Tamaulipas, Mexico;27.496509800000, -99.504957300000;http://archive.ph/MdA5G
North Africa;21/01/2020;0;0;1;0;;Unspecified location in Egypt, near border with Libya;23.655609000000, 25.082314000000;
Sub-Saharan Africa;21/01/2020;0;0;2;0;Sickness and lack of access to medicines, Dehydration;Unspecified location in Chad;15.454166000000, 18.732206000000;
North Africa;20/01/2020;0;1;0;0;Sickness and lack of access to medicines;Qatrun, Libya;24.934383000000, 14.633161000000;
US-Mexico Border;20/01/2020;0;0;1;0;Drowning;Río Bravo, near Quemado, Maverick County, Texas, USA;28.941157953509, -100.649481893780;http://bit.ly/3aE09T9
Sub-Saharan Africa;19/01/2020;0;0;2;0;Vehicle Accident;Bousso, Chad;16.733293000000, 10.465947000000;
North Africa;19/01/2020;0;1;0;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Tamanrasset, Algeria;22.787960000000, 5.527180000000;
Europe;18/01/2020;0;0;1;0;Hit by train;Train tracks near Thessaloniki Bridge, on the Eidomeni-Thessaloniki train line, Greece;40.696920113842, 22.808082002541;http://bit.ly/36fhNJH
Central America;18/01/2020;0;0;1;0;Murder;Unspecified location near Chiapas, Mexico;16.756931800000, -93.129235300000;https://www.laprensagrafica.com/elsalvador/Sepultan-a-migrante-que-fue-asesinado-20200225-0086.html
Sub-Saharan Africa;17/01/2020;0;0;1;0;Sickness and lack of access to medicines;Agadez, Niger;16.973140000000, 7.989740000000;
Sub-Saharan Africa;16/01/2020;0;1;1;0;Sickness and lack of access to medicines;Duruku, Niger;38.040420000000, 44.135110000000;
Sub-Saharan Africa;16/01/2020;0;0;1;0;Sickness and lack of access to medicines;Agadez, Niger;16.973140000000, 7.989740000000;
Sub-Saharan Africa;16/01/2020;0;1;2;1;Vehicle  accident;Louga, Senegal;15.614176800000, -16.228680000000;https://bit.ly/2FYVAVB
North Africa;15/01/2020;0;0;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Bani Walid, Libya;31.764020000000, 14.035110000000;
Sub-Saharan Africa;15/01/2020;0;0;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Faya Largeau, Chad;17.920710000000, 19.096620000000;
Sub-Saharan Africa;15/01/2020;0;0;1;0;;Moundou, Chad;8.559160000000, 16.077950000000;
North Africa;14/01/2020;0;1;1;0;Starvation, Harsh weather/lack of adequate shelter;Sabratha, Libya;38.120720000000, 13.307010000000;
North Africa;14/01/2020;0;1;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Sabha, Libya;27.022490000000, 14.440990000000;
North Africa;14/01/2020;0;1;0;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Sabha, Libya;27.022490000000, 14.440990000000;
North Africa;14/01/2020;0;0;1;0;Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter;Unspecified location in the desert, Libya;23.649993000000, 14.543594000000;
North Africa;13/01/2020;0;0;2;2;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Sabratha, Libya;38.120720000000, 13.307010000000;
North Africa;13/01/2020;0;1;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Bani Walid, Libya;31.764020000000, 14.035110000000;
North Africa;13/01/2020;0;1;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Sabratha, Libya;38.120720000000, 13.307010000000;
US-Mexico Border;13/01/2020;0;0;1;0;Drowning;Río Bravo, near Ejido El Ramireño, Camargo, Tamaulipas, Mexico;26.300380399125, -98.754264661883;http://bit.ly/383RjMo
US-Mexico Border;13/01/2020;0;0;1;0;Shot;Died in hospital in Tijuana after being shot on 8 December 2019 in Zona Norte, Tijuana, Baja California, Mexico;32.538876200000, -117.045572200000;http://archive.ph/jJANm
Caribbean;13/01/2020;35;0;4;0;Drowning;Ragged Island chain, Bahamas;22.646233000000, -75.702934600000;http://archive.ph/lfAKP
Mediterranean;12/01/2020;0;0;1;0;Drowning;Body recovered on beach in Cuevas de Almanzora, Almería, Spain;37.275539882010, -1.725327257195;http://bit.ly/2Nlts2R
Mediterranean;12/01/2020;0;0;1;0;Presumed drowning;Body recovered on Arekmane beach, Nador, Morocco (Alboran Sea);35.121191711353, -2.718498815316;https://bit.ly/30juilZ
Mediterranean;12/01/2020;3;0;0;0;Presumed drowning;Off the coast of Sabratha, Libya;32.948155158137, 12.457456577180;
Mediterranean;11/01/2020;17;2;10;0;Drowning;Ionian Sea, south-west of the coast of Paxos, Greece;39.206881498370, 20.224667371711;http://bit.ly/2RcDcOg
Mediterranean;11/01/2020;0;3;0;8;Drowning;Off the coast of Çeşme, Izmir, Turkey;38.344035877103, 26.251643663508;http://bit.ly/37ZwMIW
South America;11/01/2020;0;0;1;0;Vehicle  accident;Road near Manta, Manabí, Ecuador;-0.976440104552, -80.628191198992;http://bit.ly/2t8a42J
Mediterranean;11/01/2020;0;0;1;0;Shot;Unspecified location off the coast of Libya;32.856315404239, 12.732071058040;
North Africa;11/01/2020;0;0;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Sabratha, Libya;38.120720000000, 13.307010000000;
Sub-Saharan Africa;11/01/2020;0;1;0;1;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Agadez, Niger;16.973140000000, 7.989740000000;
Sub-Saharan Africa;11/01/2020;0;0;2;0;Sickness and lack of access to medicines, Dehydration;Unspecified location in the desert, Chad, near Libya;20.823326000000, 19.015158000000;
North Africa;11/01/2020;0;0;1;0;Sickness and lack of access to medicines;Tazirbu, Libya;25.679266000000, 21.075643000000;
North Africa;10/01/2020;0;0;1;0;Sickness and lack of access to medicines;Tripoli, Libya;32.895340000000, 13.181050000000;
North Africa;10/01/2020;0;2;0;1;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Unspecified location in the desert, Libya;23.649993000000, 14.543594000000;
North Africa;09/01/2020;0;0;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Qatrun, Libya;24.934383000000, 14.633161000000;
Sub-Saharan Africa;09/01/2020;0;3;0;0;Vehicle Accident;Unspecified location in the desert, Chad;18.922332000000, 18.973401000000;
US-Mexico Border;09/01/2020;0;0;1;0;Suicide;Pharr–Reynosa International Bridge between Reynosa, Tamaulipas, Mexico and Pharr, Texas, USA;26.066759004419, -98.205243464946;http://bit.ly/2tFlif0
US-Mexico Border;09/01/2020;0;0;1;0;Sickness and lack of access to medicines;Plaza Santa Cecilia, Tijuana, Baja California, Mexico;32.535773600000, -117.038191700000;http://archive.ph/jJANm
Mediterranean;09/01/2020;1;0;0;0;Drowning;Unspecified location off the coast of Libya;32.882588195109, 12.716964856868;
North Africa;08/01/2020;0;0;0;1;Unknown;Died on board a boat found 15 nautical miles off the coast of Arrecife, Lanzarote, Spain;28.683821337835, -13.142213579242;http://bit.ly/39OClff
North Africa;08/01/2020;0;1;2;1;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Tamanrasset, Algeria;22.787960000000, 5.527180000000;
Mediterranean;07/01/2020;1;0;0;0;Presumed drowning;Off the coast of Tangier, Morocco (Gibraltar Strait);35.913894579768, -5.853485643132;http://bit.ly/2Fxs6hm
Europe;07/01/2020;0;0;1;1;Plane stowaway;Body found in the undercarriage of a plane in Charles de Gaulle Airport, Paris, France (flight AF703 connecting Abidjan, Côte d'Ivoire with Paris, France);49.009690600000, 2.547924500000;http://bit.ly/2T4ym8n
Mediterranean;06/01/2020;17;0;5;0;Presumed drowning;Unspecified location between Cap Djinet, Boumerdès, Algeria and the Balearic Islands, Spain;37.813927740813, 2.901232147536;http://archive.ph/vwRVl
North Africa;06/01/2020;0;1;1;1;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Excessive Physical Abuse;Bani Walid, Libya;31.764020000000, 14.035110000000;
North Africa;06/01/2020;0;0;2;1;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Bani Walid, Libya;31.764020000000, 14.035110000000;
North Africa;05/01/2020;0;1;1;0;Sickness and lack of access to medicines;Tripoli, Libya;32.895340000000, 13.181050000000;
North Africa;05/01/2020;0;0;1;0;Sickness and lack of access to medicines;Tripoli, Libya;32.895340000000, 13.181050000000;
Mediterranean;05/01/2020;1;0;5;1;Drowning;Off the coast of Izmir, Turkey;38.610762461670, 26.651187816406;https://bit.ly/2ZUlSS1
North Africa;05/01/2020;0;0;0;0;Unknown;Off the coast of Gran Canaria, Spain;27.665924082213, -15.008647001563;https://bit.ly/2sUp4B5
Mediterranean;05/01/2020;0;0;0;0;Presumed drowning;Recovered from beach near Sirte, Libya;31.204391114674, 16.610704784961;https://bit.ly/2N1EPNl
US-Mexico Border;05/01/2020;0;0;1;0;Drowning;Río Bravo, near Colonia Santa Martha, Ciudad Acuña, Coahuila, Mexico;29.311404478181, -100.903143707560;http://bit.ly/36VxerF
Mediterranean;05/01/2020;0;0;1;0;Drowning;Body recovered on Sidi Hssain beach in Tazaghine, 65 kms west of Nador, Morocco (Alboran Sea);35.202416199713, -3.444319966935;http://archive.ph/0Sgyj
Mediterranean;04/01/2020;1;0;0;0;Drowning;Off the coast of Cartagena, Murcia, Spain;37.485161657617, -0.961183602507;https://bit.ly/37Q8aT9
Mediterranean;03/01/2020;5;3;5;0;Drowning;Off the coast of Fethiye, Turkey;36.592584268697, 28.989704543945;https://bit.ly/35sOq6r
Southeast Asia;03/01/2020;0;0;0;0;Vehicle  accident;Road near Myawady, Karen state, Myanmar - near the border with Thailand;16.691655088785, 98.450309906557;https://valliantnews.com/2020/01/05/myanmar-migrants-killed-in-thailand-bus-blaze/
North Africa;03/01/2020;0;0;1;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Tamanrasset, Algeria;22.787960000000, 5.527180000000;
North Africa;02/01/2020;0;0;0;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Vehicle Accident;Bani Walid, Libya;31.764020000000, 14.035110000000;
South Asia;02/01/2020;0;0;0;0;Unknown;Placeholder;18.817917482648, 77.871093750000;
Central America;02/01/2020;0;0;1;0;Sickness;Tula, Hidalgo, Mexico;20.052211900000, -99.344248700000;https://bit.ly/2ZSFwh8
